School Year,County Number,County Name,District Number,District Name,School Number,School Name,School Code,State School Id,NCES ID,CO-OP,CO-OP CODE,School Type,Personnel Expenditures State Local Per Student,Non-Personnel Expenditures State Local Per Student,Personnel Spending per Student - Federal Funds,Non-Personnel Spending per Student - Federal Funds,Total Spending per Student - State/Local Funds,Total Expenditures Federal Per Student,Total Expenditures Per Student
20232024,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,A1,"9,827","2,136",450,184,"12,187",688,"13,160"
20232024,001,ADAIR,001,Adair County,012,Adair Learning Academy,001012,001001012,210003001913,GRREC,902,A6,,,,,,,
20232024,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003001919,GRREC,902,A1,"10,250","1,262",861,331,"11,823","1,269","13,163"
20232024,001,ADAIR,001,Adair County,016,Adair County Elementary School,001016,001001016,210003002021,GRREC,902,A1,"10,585","1,158",932,282,"12,058","1,320","13,410"
20232024,001,ADAIR,001,Adair County,020,Adair County Primary Center,001020,001001020,210003002345,GRREC,902,A1,"12,170","1,374","1,400",347,"13,861","1,849","15,232"
20232024,002,ALLEN,005,Allen County,010,Allen County Primary Center,005010,002005010,210007000008,GRREC,902,A1,"9,243","1,805","1,420","1,341","11,048","2,761","13,809"
20232024,002,ALLEN,005,Allen County,015,James E Bazzell Middle School,005015,002005015,210007000009,GRREC,902,A1,"8,423","1,672","1,758","1,113","10,096","2,871","12,967"
20232024,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,A1,"8,993","2,432","1,285","1,271","11,425","2,557","13,981"
20232024,002,ALLEN,005,Allen County,025,Patriot Academy,005025,002005025,210007002535,GRREC,902,A5,,,,,,,
20232024,002,ALLEN,005,Allen County,060,Allen County Intermediate Center,005060,002005060,210007000013,GRREC,902,A1,"7,672","1,626","1,483","1,161","9,298","2,644","11,942"
20232024,002,ALLEN,005,Allen County,901,Allen County Career and Technical Center,005901,002005901,210007002061,GRREC,902,A2,,,,,,,
20232024,056,JEFFERSON,006,Anchorage Independent,010,Anchorage Independent Public School,006010,056006010,210009000014,OVEC,906,A1,"20,657","5,754",73,322,"26,411",395,"27,198"
20232024,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,A1,"8,255","2,324",299,297,"10,579",596,"13,495"
20232024,003,ANDERSON,011,Anderson County,022,Robert B. Turner Elementary School,011022,003011022,210012001955,CKEC,901,A1,"9,437","1,633","1,269",228,"11,070","1,497","13,778"
20232024,003,ANDERSON,011,Anderson County,025,Anderson County Middle School,011025,003011025,210012000017,CKEC,901,A1,"8,881","1,749",215,206,"10,630",421,"13,402"
20232024,003,ANDERSON,011,Anderson County,050,Saffell Street Elementary School,011050,003011050,210012000018,CKEC,901,A1,"11,346","1,990","1,199",221,"13,336","1,420","16,232"
20232024,003,ANDERSON,011,Anderson County,110,Emma B. Ward Elementary School,011110,003011110,210012000021,CKEC,901,A1,"12,286","1,843","1,895",221,"14,130","2,115","16,945"
20232024,003,ANDERSON,011,Anderson County,120,Ezra Sparrow Early Childhood Center,011120,003011120,210012001298,CKEC,901,A1,"12,749","3,272","2,157","1,446","16,021","3,603","18,747"
20232024,010,BOYD,012,Ashland Independent,005,Ashland Alternative School,012005,010012005,210015002487,KEDC,903,A5,,,,,,,
20232024,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,A1,"11,313","4,604",576,"1,401","15,917","1,977","17,894"
