district,school,type,total_state_local,total_federal,total_per_student
Bath County,Crossroads Elementary School,A1,"12,370","1,306","15,279"
Bath County,Bath County Middle School,A1,"12,104","1,227","14,917"
Bath County,Owingsville Elementary School,A1,"11,041","1,674","14,291"
Bath County,Bath County High School,A1,"13,172",634,"24,481"
Bourbon County,Bourbon Central Elementary School,A1,"15,054","1,623","16,677"
Bourbon County,Cane Ridge Elementary School,A1,"15,237","1,693","16,930"
Bourbon County,North Middletown Elementary School,A1,"16,629","1,135","17,903"
Bourbon County,Bourbon County High School,A1,"14,729",778,"15,507"
Bourbon County,Bourbon County Middle School,A1,"14,498",724,"15,222"
Clark County,Willis H. Justice Elementary School,A1,"15,242","1,206","17,755"
Clark County,Strode Station Elementary School,A1,"14,719","1,086","17,168"
Clark County,Shearer Elementary School,A1,"14,735",991,"17,035"
Clark County,William G. Conkwright Elementary,A1,"15,522","1,219","18,050"
Clark County,Robert D. Campbell Jr. High,A1,"13,659","1,086","16,054"
Clark County,Rev. Henry E. Baker Sr. Interm. School,A1,"13,132",731,"15,172"
Clark County,George Rogers Clark High School,A1,"14,307",873,"16,489"
Fayette County,Arlington Elementary School,A1,"22,032","1,314","26,451"
Fayette County,Ashland Elementary School,A1,"20,982",483,"25,514"
Fayette County,Veterans Park Elementary School,A1,"17,683","1,375","22,752"
Fayette County,Beaumont Middle School,A1,"18,276",536,"21,940"
Fayette County,Scapa At Bluegrass,A1,"22,807",438,"26,328"
Fayette County,Crawford Middle School,A1,"18,994","1,737","23,868"
Fayette County,Bryan Station Middle School,A1,"18,068","1,045","22,220"
Fayette County,Cassidy Elementary School,A1,"17,431","1,154","21,999"
Fayette County,Edythe Jones Hayes Middle School,A1,"16,949",433,"20,478"
Fayette County,Deep Springs Elementary School,A1,"18,376","1,246","22,819"
Fayette County,Dixie Elementary Magnet School,A1,"17,962",873,"21,997"
Fayette County,Garden Springs Elementary School,A1,"20,705","1,049","25,189"
Fayette County,Harrison Elementary School,A1,"27,913","1,775","48,435"
Fayette County,Henry Clay High School,A1,"16,609",523,"26,072"
Fayette County,Athens-Chilesburg Elementary,A1,"17,397","1,357","22,238"
Fayette County,Rosa Parks Elementary School,A1,"17,847","1,215","22,617"
Fayette County,Booker T Washington Elementary School,A1,"19,911",836,"27,766"
Fayette County,William Wells Brown Elementary,A1,"25,074","2,402","30,729"
Fayette County,Liberty Elementary,A1,"18,113",426,"22,132"
Fayette County,Sandersville Elementary,A1,"18,520",946,"22,596"
Fayette County,Wellington Elementary,A1,"17,048","1,482","21,859"
Fayette County,Lafayette High School,A1,"15,739",483,"19,274"
Fayette County,Lansdowne Elementary School,A1,"18,560",926,"27,037"
Fayette County,Leestown Middle School,A1,"17,016",734,"20,810"
Fayette County,Lexington Middle School,A1,"25,672","3,542","36,503"
Fayette County,Breckinridge Elementary,A1,"18,476","1,399","23,051"
Fayette County,Maxwell Spanish Immersion Elem School,A1,"17,346",776,"21,696"
Fayette County,Morton Middle School,A1,"18,303",621,"22,212"
Fayette County,Northern Elementary School,A1,"21,636","1,358","33,616"
Fayette County,Picadome Elementary School,A1,"19,718",840,"23,785"
Fayette County,Southern Elementary School,A1,"20,783",826,"24,766"
Fayette County,Squires Elementary School,A1,"20,985","1,132","25,802"
Fayette County,Stonewall Elementary School,A1,"17,822",568,"21,881"
Fayette County,Russell Cave Elementary School,A1,"21,764","1,833","26,829"
Fayette County,Tates Creek Elementary School,A1,"19,186","1,047","23,344"
Fayette County,Coventry Oak Elementary,A1,"18,077","1,067","22,221"
Fayette County,Garrett Morgan Elementary,A1,"17,019",426,"21,062"
Fayette County,Tates Creek Middle School,A1,"18,080",930,"22,093"
Fayette County,Tates Creek High School,A1,"16,651",619,"20,085"
Fayette County,Clays Mill Elementary School,A1,"18,825","1,425","23,505"
Fayette County,Frederick Douglass High School,A1,"15,950",535,"19,540"
Fayette County,Yates Elementary School,A1,"21,106",916,"25,197"
Fayette County,Glendover Elementary School,A1,"20,692",713,"24,719"
Fayette County,Meadowthorpe Elementary School,A1,"19,714",688,"24,079"
Fayette County,Bryan Station High School,A1,"16,801",758,"20,613"
Fayette County,Mary Todd Elementary School,A1,"21,022","1,235","25,424"
Fayette County,James Lane Allen Elementary School,A1,"21,281",952,"26,139"
Fayette County,Paul Laurence Dunbar High School,A1,"16,452",594,"20,512"
Fayette County,Jessie M Clark Middle School,A1,"17,246",426,"21,278"
Fayette County,Cardinal Valley Elementary School,A1,"19,516","1,256","23,917"
Fayette County,Winburn Middle School,A1,"18,164","1,285","22,571"
Fayette County,Millcreek Elementary School,A1,"20,161","1,525","24,857"
Fayette County,Southern Middle School,A1,"18,264",827,"22,245"
Fayette County,Brenda Cowan Elementary,A1,"18,271",736,"22,015"
Fayette County,Julius Marks Elementary School,A1,"19,904",938,"23,983"
Harrison County,Eastside Elementary School,A1,"11,830","1,205","14,012"
Harrison County,Southside Elementary School,A1,"11,551","1,102","13,622"
Harrison County,Harrison County High School,A1,"11,718",232,"34,247"
Harrison County,Harrison County Middle School,A1,"11,637",472,"13,085"
Harrison County,Northside Elementary School,A1,"13,896","1,761","16,686"
Harrison County,Westside Elementary School,A1,"11,906","1,548","14,437"
Montgomery County,Camargo Elementary School,A1,"12,736","1,451","17,793"
Montgomery County,Northview Elementary,A1,"13,807","1,185","17,060"
Montgomery County,Mapleton Elementary School,A1,"14,127","1,440","17,647"
