SCH_YEAR,SCH_CD,SCH_NAME,SPENDING_PER_STDNT,MEMBERSHIP_TOTAL,SOURCE_FILE
20112012,041,---District---,"$10,900","2,681",LEARNING_ENVIRONMENT_STUDENTS-TEACHERS_11-12.xlsx
20112012,041010,Bourbon Central Elementary School,"$7,351",591,LEARNING_ENVIRONMENT_STUDENTS-TEACHERS_11-12.xlsx
20112012,041030,Cane Ridge Elementary School,"$7,740",449,LEARNING_ENVIRONMENT_STUDENTS-TEACHERS_11-12.xlsx
20112012,041090,North Middletown Elementary School,"$9,715",177,LEARNING_ENVIRONMENT_STUDENTS-TEACHERS_11-12.xlsx
20112012,041110,Bourbon County High School,"$6,815",849,LEARNING_ENVIRONMENT_STUDENTS-TEACHERS_11-12.xlsx
20112012,041120,Bourbon County Middle School,"$7,000",615,LEARNING_ENVIRONMENT_STUDENTS-TEACHERS_11-12.xlsx
20122013,041,---District---,"$10,544","2,658",LEARNING_ENVIRONMENT_STUDENTS-TEACHERS_12-13.xlsx
20122013,041010,Bourbon Central Elementary School,"$10,281",569,LEARNING_ENVIRONMENT_STUDENTS-TEACHERS_12-13.xlsx
20122013,041030,Cane Ridge Elementary School,"$11,383",446,LEARNING_ENVIRONMENT_STUDENTS-TEACHERS_12-13.xlsx
20122013,041090,North Middletown Elementary School,"$19,635",158,LEARNING_ENVIRONMENT_STUDENTS-TEACHERS_12-13.xlsx
20122013,041110,Bourbon County High School,"$8,225",874,LEARNING_ENVIRONMENT_STUDENTS-TEACHERS_12-13.xlsx
20122013,041120,Bourbon County Middle School,"$9,091",611,LEARNING_ENVIRONMENT_STUDENTS-TEACHERS_12-13.xlsx
20132014,041,---District Total---,"$10,287","2,661",LEARNING_ENVIRONMENT_STUDENTS-TEACHERS_13-14.xlsx
20132014,041010,Bourbon Central Elementary School,"$7,123",582,LEARNING_ENVIRONMENT_STUDENTS-TEACHERS_13-14.xlsx
20132014,041030,Cane Ridge Elementary School,"$7,718",452,LEARNING_ENVIRONMENT_STUDENTS-TEACHERS_13-14.xlsx
20132014,041090,North Middletown Elementary School,"$9,948",154,LEARNING_ENVIRONMENT_STUDENTS-TEACHERS_13-14.xlsx
20132014,041110,Bourbon County High School,"$6,836",858,LEARNING_ENVIRONMENT_STUDENTS-TEACHERS_13-14.xlsx
20132014,041120,Bourbon County Middle School,"$6,938",615,LEARNING_ENVIRONMENT_STUDENTS-TEACHERS_13-14.xlsx
20142015,041,---District Total---,"$10,474","2,648",LEARNING_ENVIRONMENT_STUDENTS-TEACHERS_14-15.xlsx
20142015,041010,Bourbon Central Elementary School,"$8,651",598,LEARNING_ENVIRONMENT_STUDENTS-TEACHERS_14-15.xlsx
20142015,041030,Cane Ridge Elementary School,"$9,222",461,LEARNING_ENVIRONMENT_STUDENTS-TEACHERS_14-15.xlsx
20142015,041090,North Middletown Elementary School,"$10,999",153,LEARNING_ENVIRONMENT_STUDENTS-TEACHERS_14-15.xlsx
20142015,041110,Bourbon County High School,"$7,741",838,LEARNING_ENVIRONMENT_STUDENTS-TEACHERS_14-15.xlsx
20142015,041120,Bourbon County Middle School,"$8,583",598,LEARNING_ENVIRONMENT_STUDENTS-TEACHERS_14-15.xlsx
20152016,041,---District Total---,"$10,300","2,689",LEARNING_ENVIRONMENT_STUDENTS-TEACHERS_15-16.xlsx
20152016,041010,Bourbon Central Elementary School,"$8,705",627,LEARNING_ENVIRONMENT_STUDENTS-TEACHERS_15-16.xlsx
20152016,041030,Cane Ridge Elementary School,"$9,655",478,LEARNING_ENVIRONMENT_STUDENTS-TEACHERS_15-16.xlsx
20152016,041090,North Middletown Elementary School,"$11,521",149,LEARNING_ENVIRONMENT_STUDENTS-TEACHERS_15-16.xlsx
20152016,041110,Bourbon County High School,"$9,588",858,LEARNING_ENVIRONMENT_STUDENTS-TEACHERS_15-16.xlsx
20152016,041120,Bourbon County Middle School,"$8,773",577,LEARNING_ENVIRONMENT_STUDENTS-TEACHERS_15-16.xlsx
20162017,041,---District Total---,"$11,186","2,691",LEARNING_ENVIRONMENT_STUDENTS-TEACHERS_16-17.xlsx
20162017,041010,Bourbon Central Elementary School,"$9,197",620,LEARNING_ENVIRONMENT_STUDENTS-TEACHERS_16-17.xlsx
20162017,041030,Cane Ridge Elementary School,"$9,815",503,LEARNING_ENVIRONMENT_STUDENTS-TEACHERS_16-17.xlsx
20162017,041090,North Middletown Elementary School,"$13,260",133,LEARNING_ENVIRONMENT_STUDENTS-TEACHERS_16-17.xlsx
20162017,041110,Bourbon County High School,"$8,955",826,LEARNING_ENVIRONMENT_STUDENTS-TEACHERS_16-17.xlsx
20162017,041120,Bourbon County Middle School,"$9,443",609,LEARNING_ENVIRONMENT_STUDENTS-TEACHERS_16-17.xlsx
