ccd_year,school,enrollment,teachers_fte,students_per_teacher
1996,CANE RIDGE EL,303,20,15.15
1996,MILLERSBURG EL,155,11,14.09
1996,NORTH MIDDLETOWN EL,208,13,16.0
1996,BOURBON CO HS,820,49,16.73
1996,BOURBON CO MID,639,39,16.38
1996,BOURBON CENTRAL EL,597,35,17.06
1997,CANE RIDGE EL,315,21,15.0
1997,MILLERSBURG EL,162,9,18.0
1997,NORTH MIDDLETOWN EL,198,11,18.0
1997,BOURBON CO HS,830,55,15.09
1997,BOURBON CO MID,695,41,16.95
1997,BOURBON CENTRAL EL,599,38,15.76
1998,CANE RIDGE EL,316,13,24.31
1998,MILLERSBURG EL,153,5,30.6
1998,NORTH MIDDLETOWN EL,205,5,41.0
1998,BOURBON CO HS,828,51,16.24
1998,BOURBON CO MID,654,41,15.95
1998,BOURBON CENTRAL EL,582,25,23.28
1999,CANE RIDGE EL,304,15,20.27
1999,MILLERSBURG EL,133,6,22.17
1999,NORTH MIDDLETOWN EL,195,6,32.5
1999,BOURBON CO HS,833,51,16.33
1999,BOURBON CO MID,632,43,14.7
1999,BOURBON CENTRAL EL,609,27,22.56
2000,CANE RIDGE EL,312,13,24.0
2000,MILLERSBURG EL,145,7,20.71
2000,NORTH MIDDLETOWN EL,193,6,32.17
2000,BOURBON CO HS,824,51,16.16
2000,BOURBON CO MS,641,43,14.91
2000,BOURBON CENTRAL EL,595,24,24.79
2001,CANE RIDGE ELEMENTARY SCHOOL,315,20,15.75
2001,MILLERSBURG ELEMENTARY SCHOOL,139,8,17.38
2001,NORTH MIDDLETOWN ELEMENTARY SCHOOL,203,10,20.3
2001,BOURBON COUNTY HIGH SCHOOL,837,51,16.41
2001,BOURBON COUNTY MIDDLE SCHOOL,655,37,17.7
2001,BOURBON CENTRAL ELEMENTARY SCHOOL,582,30,19.4
2002,CANE RIDGE ELEMENTARY SCHOOL,299,21,14.24
2002,MILLERSBURG ELEMENTARY SCHOOL,137,9,15.22
2002,NORTH MIDDLETOWN ELEMENTARY SCHOOL,196,13,15.08
2002,BOURBON COUNTY HIGH SCHOOL,785,50,15.7
2002,BOURBON COUNTY MIDDLE SCHOOL,668,40,16.7
2002,BOURBON CENTRAL ELEMENTARY SCHOOL,585,34,17.21
2003,CANE RIDGE ELEMENTARY SCHOOL,304,19,16.0
2003,MILLERSBURG ELEMENTARY SCHOOL,127,10,12.7
2003,NORTH MIDDLETOWN ELEMENTARY SCHOOL,206,12,17.17
2003,BOURBON COUNTY HIGH SCHOOL,809,48,16.85
2003,BOURBON COUNTY MIDDLE SCHOOL,626,39,16.05
2003,BOURBON CENTRAL ELEMENTARY SCHOOL,597,33,18.09
2004,CANE RIDGE ELEMENTARY SCHOOL,301,19,15.84
2004,MILLERSBURG ELEMENTARY SCHOOL,129,10,12.9
2004,NORTH MIDDLETOWN ELEMENTARY SCHOOL,204,14,14.57
2004,BOURBON COUNTY HIGH SCHOOL,823,44,18.7
2004,BOURBON COUNTY MIDDLE SCHOOL,622,38,16.37
2004,BOURBON CENTRAL ELEMENTARY SCHOOL,596,34,17.53
2005,CANE RIDGE ELEMENTARY SCHOOL,314,19,16.53
2005,MILLERSBURG ELEMENTARY SCHOOL,119,10,11.9
2005,NORTH MIDDLETOWN ELEMENTARY SCHOOL,199,14,14.21
2005,BOURBON COUNTY HIGH SCHOOL,834,47,17.74
2005,BOURBON COUNTY MIDDLE SCHOOL,592,39,15.18
2005,BOURBON CENTRAL ELEMENTARY SCHOOL,594,36,16.5
2006,CANE RIDGE ELEMENTARY SCHOOL,412,32,12.88
2006,NORTH MIDDLETOWN ELEMENTARY SCHOOL,211,17,12.41
2006,BOURBON COUNTY HIGH SCHOOL,837,52,16.1
2006,BOURBON COUNTY MIDDLE SCHOOL,624,41,15.22
2006,BOURBON CENTRAL ELEMENTARY SCHOOL,574,38,15.11
2007,CANE RIDGE ELEMENTARY SCHOOL,419,26,16.12
2007,NORTH MIDDLETOWN ELEMENTARY SCHOOL,224,14,16.0
2007,BOURBON COUNTY HIGH SCHOOL,825,48,17.19
2007,BOURBON COUNTY MIDDLE SCHOOL,640,38,16.84
2007,BOURBON CENTRAL ELEMENTARY SCHOOL,572,35,16.34
2007,BOURBON CO PRESCHOOL HEAD START CENTER,178,7,25.43
2008,CANE RIDGE ELEMENTARY SCHOOL,415,26,15.96
2008,NORTH MIDDLETOWN ELEMENTARY SCHOOL,217,14,15.5
2008,BOURBON COUNTY HIGH SCHOOL,823,49,16.8
2008,BOURBON COUNTY MIDDLE SCHOOL,624,41,15.22
2008,BOURBON CENTRAL ELEMENTARY SCHOOL,548,34,16.12
2008,BOURBON CO PRESCHOOL HEAD START CENTER,154,7,22.0
2009,CANE RIDGE ELEMENTARY SCHOOL,421,27,15.59
2009,NORTH MIDDLETOWN ELEMENTARY SCHOOL,177,14,12.64
2009,BOURBON COUNTY HIGH SCHOOL,821,48,17.1
2009,BOURBON COUNTY MIDDLE SCHOOL,620,41,15.12
2009,BOURBON CENTRAL ELEMENTARY SCHOOL,549,34,16.15
2009,BOURBON CO PRESCHOOL HEAD START CENTER,280,8,35.0
2010,CANE RIDGE ELEMENTARY SCHOOL,445,28,15.89
2010,NORTH MIDDLETOWN ELEMENTARY SCHOOL,165,13,12.69
2010,BOURBON COUNTY HIGH SCHOOL,832,50,16.64
2010,BOURBON COUNTY MIDDLE SCHOOL,599,41,14.61
2010,BOURBON CENTRAL ELEMENTARY SCHOOL,544,34,16.0
2010,BOURBON COUNTY PRESCHOOL HEADSTART,293,8,36.62
2011,CANE RIDGE ELEMENTARY SCHOOL,440,30,14.67
2011,NORTH MIDDLETOWN ELEMENTARY SCHOOL,167,13,12.85
2011,BOURBON COUNTY HIGH SCHOOL,878,51,17.22
2011,BOURBON COUNTY MIDDLE SCHOOL,613,40,15.32
2011,BOURBON CENTRAL ELEMENTARY SCHOOL,589,36,16.36
2011,BOURBON COUNTY PRESCHOOL HEADSTART,291,9,32.33
2012,CANE RIDGE ELEMENTARY SCHOOL,458,31,14.77
2012,NORTH MIDDLETOWN ELEMENTARY SCHOOL,154,13,11.85
2012,BOURBON COUNTY HIGH SCHOOL,891,49,18.18
2012,BOURBON COUNTY MIDDLE SCHOOL,612,40,15.3
2012,BOURBON CENTRAL ELEMENTARY SCHOOL,569,36,15.81
2012,BOURBON COUNTY PRESCHOOL HEADSTART,295,8,36.88
2013,CANE RIDGE ELEMENTARY SCHOOL,458,30,15.27
2013,NORTH MIDDLETOWN ELEMENTARY SCHOOL,154,11,14.0
2013,BOURBON COUNTY HIGH SCHOOL,867,50,17.34
2013,BOURBON COUNTY MIDDLE SCHOOL,620,40,15.5
2013,BOURBON CENTRAL ELEMENTARY SCHOOL,563,35,16.09
2013,BOURBON COUNTY PRESCHOOL HEADSTART,293,7,41.86
2014,Cane Ridge Elementary School,456,30,15.2
2014,North Middletown Elementary School,155,10,15.5
2014,Bourbon County High School,857,50,17.14
