school_year,ncessch,school,enrollment_crdc,enrollment_ccd,salaries_teachers,salaries_instructional_staff,salaries_total_personnel,expenditures_nonpersonnel,teachers_fte_crdc,teacher_salary_per_pupil,total_personnel_salary_per_pupil,avg_teacher_salary
2011-12,210054001576,Bourbon Central Elementary,584,589,1602224.0,1839997.0,2218674.0,173679.0,35.0,2743.53,3799.1,45777.83
2011-12,210054000098,Bourbon County High,846,878,2159858.0,2515188.0,3154831.0,365938.0,49.0,2553.02,3729.11,44078.73
2011-12,210054000099,Bourbon County Middle,604,613,1737150.0,1913278.0,2349585.0,205424.0,39.0,2876.08,3890.04,44542.31
2011-12,210054002054,Bourbon Preschool/HeadStart,301,291,171242.0,422534.0,504933.0,185731.0,4.0,568.91,1677.52,42810.5
2011-12,210054000024,Cane Ridge Elementary,432,440,1301765.0,1568274.0,1813167.0,144140.0,29.0,3013.34,4197.15,44888.45
2011-12,210054000096,North Middletown Elementary,175,167,546658.0,576434.0,776574.0,84708.0,13.0,3123.76,4437.57,42050.62
2013-14,210054001576,Bourbon Central Elementary,565,563,1512983.0,1620403.0,1872790.0,168432.0,36.0,2677.85,3314.67,42027.31
2013-14,210054000098,Bourbon County High,868,867,2095925.0,2111578.0,2329736.0,416587.0,51.0,2414.66,2684.03,41096.57
2013-14,210054000099,Bourbon County Middle,626,620,1857995.0,1884082.0,2173047.0,208944.0,40.0,2968.04,3471.32,46449.88
2013-14,210054002054,Bourbon Preschool/HeadStart,296,293,,,,,9.0,,,
2013-14,210054000024,Cane Ridge Elementary,456,458,1207599.0,1348024.0,1439631.0,147628.0,30.0,2648.24,3157.09,40253.3
2013-14,210054000096,North Middletown Elementary,156,154,341968.0,383200.0,450606.0,6590405.0,8.0,2192.1,2888.5,42746.0
2015-16,210054001576,Bourbon Central Elementary,612,611,1625645.0,,2538487.42,384689.0,37.0,2656.28,4147.86,43936.35
2015-16,210054000098,Bourbon County High,890,887,2303744.0,,3237122.58,418991.0,47.0,2588.48,3637.22,49015.83
2015-16,210054000099,Bourbon County Middle,585,589,1953224.0,,2706672.03,502251.0,39.0,3338.84,4626.79,50082.67
2015-16,210054002054,Bourbon Preschool/HeadStart,247,245,,,,,9.0,,,
2015-16,210054000024,Cane Ridge Elementary,474,474,1288995.0,,2016988.85,388241.0,32.0,2719.4,4255.25,40281.09
2015-16,210054000096,North Middletown Elementary,158,154,419503.0,,689842.43,67161.0,9.0,2655.08,4366.09,46611.44
2017-18,210054001576,Bourbon Central Elementary,568,568,1463691.0,,1982807.625,248898.0,31.0,2576.92,3490.86,47215.84
2017-18,210054000098,Bourbon County High,813,814,2348121.0,,2701103.0,580542.0,47.0,2888.22,3322.39,49960.02
2017-18,210054000099,Bourbon County Middle,671,671,1953981.0,,2306792.5,299928.0,39.0,2912.04,3437.84,50102.08
2017-18,210054002054,Bourbon Preschool/HeadStart,248,248,,,,,8.0,,,
2017-18,210054000024,Cane Ridge Elementary,496,495,1218514.0,,1763279.25,196878.0,25.0,2456.68,3555.0,48740.56
2017-18,210054000096,North Middletown Elementary,143,143,380467.0,,528173.312,98627.0,8.0,2660.61,3693.52,47558.38
