district,closed_for_sy,students_displaced,budget_gap_vs_state_trend_per_year,gap_per_displaced_student,gap_pct_of_budget,note
PERRY COUNTY,2017,825,3005590,3643,6.3,3 elems -> NEW West Perry built
JOHNSON COUNTY,2016,178,3715526,20874,8.7,"Meade Memorial, pure absorption"
PINEVILLE INDEPENDENT,2014,508,1049913,2067,18.4,"same-town rebuild, combined campus"
LESLIE COUNTY,2013,144,2550550,17712,12.4,middle folded into existing campus
PIKE COUNTY,2014,123,4115420,33459,4.4,"Majestic Knox Creek, +8 scores case"
SOMERSET IND,1999,264,1718421,6509,15.6,"Memorial El, city district"
ROWAN CO,2001,144,2234558,15518,9.6,Farmers El
WEBSTER COUNTY,2012,172,606331,3525,3.0,"Slaughters El, town lost school"
BUTLER COUNTY,2003,94,1716240,18258,9.3,Third District El
LETCHER COUNTY,2007,67,3298171,49226,9.3,Kingdom Come Settlement El
MUHLENBERG COUNTY,2013,91,9036749,99305,16.5,Career HS
WAYNE COUNTY,2007,381,1812675,4758,7.1,A J Lloyd Middle
LINCOLN COUNTY,2016,286,4552546,15918,9.9,6th grade center reorg
MONTGOMERY COUNTY,2018,737,5542099,7520,10.7,"intermediate reorg, county seat"
METCALFE COUNTY,2013,817,1674447,2050,9.5,3 schools; scores fell 10.5
