district,leaid,closed_for_sy,schools_closed,students_displaced,includes_elementary,town_lost_last_school,new_school_built_within_2yrs,school_names,district_exp_pre,district_enr_pre,district_exp_post3,district_enr_post3,state_median_exp_growth,gap_vs_trend_per_year,gap_per_displaced_student,flag_plausible_magnitude,flag_finance_clean,score_pre,score_post3,score_change_vs_state
Adair County,2100030,2001,1,543,False,False,True,JOHN ADAIR MS,15533000,2576,19024000,2743,0.1931,-492064,-906,True,True,,,
Adair County,2100030,2013,2,803,True,False,True,COLONEL WILLIAM CASEY ELEMENTARY; JOHN ADAIR INTERMEDIATE SCHOOL,23612000,2601,25540000,2689,0.0374,-1045466,-1302,True,True,44.5,46.5,-4.5
Adair County,2100030,2006,3,479,True,True,True,KNIFLEY ELEMENTARY SCHOOL; SHEPHERD ELEMENTARY SCHOOL; SPARKSVILLE ELEMENTARY SCHOOL,22126000,2794,23240000,2547,0.2005,3321858,6935,True,True,,,
Anderson County,2100120,2002,1,142,True,False,True,WESTERN ELEMENTARY SCHOOL,18405000,3737,24051000,4054,0.1875,-2194347,-15453,False,True,,,
Anderson County,2100120,2021,1,467,False,False,False,APEX Academy,,,,,,,,,False,,,
Augusta Independent,2100180,2004,2,278,True,False,True,AUGUSTA ELEMENTARY SCHOOL; AUGUSTA HIGH SCHOOL,1866000,273,2691000,287,0.2139,-425785,-1532,True,True,,,
Barbourville Independent,2100240,2005,2,636,True,False,True,BARBOURVILLE ELEMENTARY; BARBOURVILLE HIGH SCHOOL,4622000,662,5053000,650,0.2574,758706,1193,True,True,,,
Bath County,2100330,2009,2,310,True,True,True,BETHEL ELEMENTARY SCHOOL; SALT LICK ELEMENTARY SCHOOL,16357000,2081,18010000,2131,0.0626,-628717,-2028,True,True,,,
Bell County,2100390,2000,6,1128,True,True,True,ARJAY EL; CUBAGE EL; HARMONY EL; PAGE EL; WARD CHAPEL EL; BELL CO MID,19058000,3246,22757000,3311,0.1769,-327110,-290,True,True,,,
Bell County,2100390,2001,1,183,True,True,False,BLACKMONT EL,19676000,3269,23838000,3188,0.1931,-363180,-1985,True,True,,,
Bourbon County,2100540,2006,1,119,True,True,True,MILLERSBURG ELEMENTARY SCHOOL,19839000,3017,24696000,2781,0.2005,-879644,-7392,True,True,,,
Boyd County,2100620,2023,1,39,False,False,False,Ramey-Estep High School,,,,,,,,,False,,,
Breathitt County,2100690,2013,1,99,True,True,False,ROUSSEAU ELEMENTARY SCHOOL,23420000,2315,21522000,2031,0.0374,2773357,28014,False,True,37.0,35.5,-8.0
Breathitt County,2100690,2018,1,286,False,False,True,Sebastian Middle School,21092000,1953,22324000,1827,0.1366,1650205,5770,True,True,,,
Breathitt County,2100690,2023,1,231,True,True,True,Marie Roberts-Caney Elementary School,,,,,,,,,False,,,
Breckinridge County,2100720,1997,2,299,True,False,False,MCQUADY EL; MILNER EL,17048000,2791,16425000,2735,0.1319,2872203,9606,True,True,,,
Burgin Independent,2100780,2014,1,261,True,False,True,BURGIN ELEMENTARY SCHOOL,3892000,460,4725000,516,0.0667,-573597,-2198,True,True,46.5,54.5,6.5
Butler County,2100810,2003,1,94,True,True,False,THIRD DISTRICT ELEMENTARY SCHOOL,14995000,2306,16806000,2267,0.2352,1716240,18258,False,True,,,
Butler County,2100810,2005,2,330,True,False,True,FIFTH DISTRICT ELEMENTARY SCHOOL; FOURTH DISTRICT ELEMENTARY SCHOOL,14332000,2255,18418000,2118,0.2574,-396934,-1203,True,True,,,
Butler County,2100810,2022,1,7,False,True,False,Green River School,,,,,,,,,False,,,
Calloway County,2100870,1998,1,31,True,False,False,MAYFIELD TREATMT CTR FOR BOYS,17517000,3208,19480000,3188,0.171,1031993,33290,False,True,,,
Campbell County,2100900,2005,1,147,True,True,True,A.J. JOLLY ELEMENTARY SCHOOL,31398000,4688,42304000,4878,0.2574,-2824134,-19212,False,True,,,
Carter County,2101020,2013,2,421,True,False,True,CARTER ELEMENTARY SCHOOL; UPPER TYGART ELEMENTARY SCHOOL,43779000,4863,42841000,4669,0.0374,2574306,6115,True,True,45.5,56.0,4.0
Casey County,2101050,2006,2,465,True,True,True,GARRETT ELEMENTARY SCHOOL; MIDDLEBURG ELEMENTARY SCHOOL,17471000,2534,21217000,2433,0.2005,-243384,-523,True,True,,,
Casey County,2101050,2007,3,469,True,True,True,DOUGLAS ELEMENTARY SCHOOL; PHELPS ELEMENTARY SCHOOL; PHILLIPS ELEMENTARY SCHOOL,19033000,2534,21249000,2361,0.1523,683095,1456,True,True,,,
Christian County,2101150,2015,4,1646,True,False,True,Belmont Elementary School; Holiday Elementary School; Lacy Elementary School; North Drive Middle School,84301000,9327,89531000,8835,0.1627,8488132,5157,True,True,41.0,42.5,-1.0
Clark County,2101200,2013,2,620,True,False,True,CENTRAL ELEMENTARY SCHOOL; FANNIE BUSH ELEMENTARY,46830000,5729,49872000,5548,0.0374,-1291659,-2083,True,True,50.5,55.0,-2.0
Clark County,2101200,2014,9,3808,True,False,True,CONKWRIGHT MIDDLE SCHOOL; HANNAH MCCLURE ELEMENTARY; PILOT VIEW ELEMENTARY SCHOOL; PROVIDENCE ELEMENTARY; SHEARER ELEMENTARY SCHOOL; TRAPP ELEMENTARY SCHOOL; STRODE STATION ELEMENTARY; CLARK MIDDLE SCHOOL; WILLIS H. JUSTICE ELEMENTARY SCHOOL,48042000,5772,50651000,5567,0.0667,593016,156,True,True,51.5,54.0,1.0
Clay County,2101230,2004,1,155,True,False,False,LAUREL CREEK ELEMENTARY SCHOOL,30749000,4247,34124000,3678,0.2139,3203497,20668,False,True,,,
Clay County,2101230,2007,1,217,True,False,False,HORSE CREEK ELEMENTARY SCHOOL,35438000,4049,37062000,3599,0.1523,3773894,17391,False,True,,,
Cloverport Independent,2101290,2020,3,340,True,False,True,Frederick Fraize High School; William H Natcher Elementary School; Frederick Fraize Middle School,,,,,,,,,False,,,
Corbin Independent,2101320,2007,1,8,False,False,True,CORBIN EAST SCHOOL,16504000,2334,21036000,2745,0.1523,-2018121,-252265,False,True,,,
Corbin Independent,2101320,2008,2,1162,True,False,True,CENTRAL PRIMARY SCHOOL; SOUTH ELEMENTARY SCHOOL,16872000,2379,21922000,2752,0.1356,-2761350,-2376,True,True,,,
Corbin Independent,2101320,2019,1,216,False,False,True,Corbin Intermediate,,,,,,,,,False,,,
Crittenden County,2101380,1998,2,171,True,False,False,FRANCES EL; TOLU EL,8222000,1569,9109000,1431,0.171,518768,3034,True,True,,,
Danville Independent,2101440,2018,3,958,True,False,True,Hogsett Elementary School; Toliver Elementary School; Jennie Rogers Elementary School,22591000,1924,24622000,1856,0.1366,1056042,1102,True,True,,,
Daviess County,2101470,2004,1,175,True,True,True,PHILPOT ELEMENTARY SCHOOL,77654000,10786,87635000,10881,0.2139,6632437,37900,False,True,,,
Daviess County,2101470,2008,1,251,True,False,True,UTICA ELEMENTARY SCHOOL,87635000,10881,101975000,11310,0.1356,-2452504,-9771,True,True,,,
Dawson Springs Independent,2101500,2007,2,399,False,False,True,DAWSON SPRINGS HIGH SCHOOL; DAWSON SPRINGS MIDDLE SCHOOL,5326000,716,6053000,722,0.1523,84253,211,True,True,,,
Edmonson County,2101620,2013,1,46,False,False,False,EDMONSON COUNTY GREAT ONYX HIGH SCHOOL,18136000,2094,18235000,1959,0.0374,578860,12584,True,True,51.5,58.0,0.0
Elizabethtown Independent,2101650,1997,1,187,True,False,False,VALLEY VIEW ELEM,9290000,2078,11000000,2202,0.1319,-484338,-2590,True,True,,,
Elliott County,2101680,2020,2,260,True,True,True,Isonville Elementary School; Lakeside Elementary School,,,,,,,,,False,,,
Eminence Independent,2101710,1999,1,159,True,False,False,EMINENCE MIDDLE,3052000,532,3589000,547,0.2045,87133,548,True,True,,,
Eminence Independent,2101710,2013,1,55,False,False,False,WHITNEY YOUNG,5840000,658,7390000,755,0.0374,-1331721,-24213,False,True,39.5,45.0,-1.0
Estill County,2101760,1995,1,15,True,False,False,ESTILL CO ALT SCHOOL,,,,,,,,,False,,,
Estill County,2101760,1998,4,872,True,False,True,IRVINE EL; HARGETT EL; RAVENNA EL; ESTILL SPRINGS MID,15125000,2749,15836000,2679,0.171,1875018,2150,True,True,,,
Fayette County,2101860,2003,1,13,True,False,True,BELLEWOOD PRESBYTERIAN HOME ALT SCH,240242000,33799,288726000,35321,0.2352,8027589,617507,False,True,,,
Fayette County,2101860,2006,1,365,True,False,True,ATHENS ELEMENTARY SCHOOL,271837000,35004,336274000,36110,0.2005,-9938660,-27229,False,True,,,
