year,leaid,district,current_expenditures,enrollment,flagged_corrupt
1995,2100030,Adair County,13981000,2623,False
1995,2100070,Allen County,12017000,2854,False
1995,2100081,Muhlenberg County,29609000,5481,False
1995,2100090,Anchorage Independent,2882000,378,False
1995,2100120,Anderson County,13796000,3080,False
1995,2100150,Ashland Independent,19412000,3599,False
1995,2100180,Augusta Independent,1765000,296,False
1995,2100210,Ballard County,7749000,1429,False
1995,2100240,Barbourville Independent,2904000,690,False
1995,2100270,Bardstown Independent,8266000,1563,False
1995,2100300,Barren County,17422000,3303,False
1995,2100330,Bath County,10157000,1844,False
1995,2100360,Beechwood Independent,4132000,974,False
1995,2100390,Bell County,21854000,3465,False
1995,2100420,Bellevue Independent,5104000,1044,False
1995,2100480,Berea Independent,5924000,1048,False
1995,2100510,Boone County,50983000,11564,False
1995,2100540,Bourbon County,15450000,2713,False
1995,2100570,Bowling Green Independent,18359000,3367,False
1995,2100620,Boyd County,19150000,3829,False
1995,2100630,Boyle County,12560000,2579,False
1995,2100660,Bracken County,5574000,1256,False
1995,2100690,Breathitt County,16405000,2645,False
1995,2100720,Breckinridge County,17048000,2791,False
1995,2100750,Bullitt County,45522000,10041,False
1995,2100780,Burgin Independent,1909000,411,False
1995,2100810,Butler County,12213000,2421,False
1995,2100840,Caldwell County,10244000,2152,False
1995,2100870,Calloway County,17279000,3251,False
1995,2100900,Campbell County,21012000,4823,False
1995,2100930,Campbellsville Independent,7619000,1469,False
1995,2100960,Carlisle County,4043000,890,False
1995,2100990,Carroll County,10333000,1794,False
1995,2101020,Carter County,25855000,5086,False
1995,2101050,Casey County,13757000,2453,False
1995,2101110,Caverna Independent,5056000,991,False
1995,2101150,Christian County,47535000,9017,False
1995,2101200,Clark County,25598000,5372,False
1995,2101230,Clay County,23537000,4561,False
1995,2101260,Clinton County,8172000,1544,False
1995,2101290,Cloverport Independent,2167000,328,False
1995,2101320,Corbin Independent,10450000,1967,False
1995,2101350,Covington Independent,30672000,5334,False
1995,2101380,Crittenden County,7624000,1572,False
1995,2101410,Cumberland County,6314000,1188,False
1995,2101440,Danville Independent,10340000,1871,False
1995,2101470,Daviess County,51472000,10190,False
1995,2101500,Dawson Springs Independent,3140000,708,False
1995,2101530,Dayton Independent,7289000,1338,False
1995,2101590,East Bernstadt Independent,1994000,439,False
1995,2101620,Edmonson County,9981000,1893,False
1995,2101650,Elizabethtown Independent,9290000,2078,False
1995,2101680,Elliott County,8400000,1349,False
1995,2101710,Eminence Independent,3088000,552,False
1995,2101740,Erlanger-Elsmere Independent,10376000,2288,False
1995,2101760,Estill County,14382000,2786,False
1995,2101800,Fairview Independent,3503000,895,False
1995,2101860,Fayette County,190093000,32880,False
1995,2101920,Fleming County,12428000,2416,False
1995,2101950,Floyd County,43864000,8144,False
1995,2101980,Frankfort Independent,5727000,916,False
1995,2102010,Franklin County,27275000,5976,False
1995,2102040,Fort Thomas Independent,11067000,2407,False
1995,2102070,Fulton Independent,3657000,608,False
1995,2102100,Fulton County,5228000,859,False
1995,2102130,Gallatin County,5621000,1247,False
1995,2102160,Garrard County,10553000,2149,False
1995,2102220,Glasgow Independent,10325000,2305,False
1995,2102250,Grant County,14070000,3375,False
1995,2102280,Graves County,18382000,4346,False
1995,2102300,Grayson County,18582000,4052,False
1995,2102340,Green County,8745000,1722,False
1995,2102400,Greenup County,18178000,3504,False
1995,2102460,Hancock County,7756000,1606,False
1995,2102490,Hardin County,67617000,13367,False
1995,2102520,Harlan Independent,4864000,920,False
1995,2102540,Harlan County,36186000,5894,False
1995,2102580,Harrison County,15971000,3137,False
1995,2102610,HARRODSBURG INDEPENDENT,5202000,956,False
1995,2102640,Hart County,11139000,2302,False
1995,2102670,Hazard Independent,6620000,1237,False
1995,2102710,Henderson County,37259000,7649,False
1995,2102760,Henry County,10057000,2041,False
1995,2102790,Hickman County,4806000,867,False
1995,2102860,Hopkins County,37419000,7437,False
1995,2102910,Jackson Independent,2112000,378,False
1995,2102940,Jackson County,13945000,2444,False
1995,2102990,Jefferson County,517949000,93070,False
1995,2103000,Jenkins Independent,4754000,764,False
1995,2103030,Jessamine County,26127000,6239,False
1995,2103060,Johnson County,20181000,3935,False
1995,2103090,Kenton County,53705000,12052,False
1995,2103120,Knott County,20743000,3422,False
1995,2103150,Knox County,29174000,4756,False
1995,2103180,LaRue County,11878000,2271,False
1995,2103210,Laurel County,43080000,8512,False
1995,2103240,Lawrence County,14592000,2763,False
1995,2103270,Lee County,7325000,1466,False
1995,2103330,Leslie County,15532000,2621,False
1995,2103360,Letcher County,21765000,4391,False
1995,2103390,Lewis County,12374000,2532,False
1995,2103480,Lincoln County,24532000,3907,False
1995,2103510,Livingston County,7095000,1471,False
1995,2103540,Logan County,17243000,3160,False
1995,2103630,Ludlow Independent,4817000,1046,False
1995,2103690,Lyon County,4843000,952,False
1995,2103720,Madison County,39683000,8544,False
1995,2103750,Magoffin County,16332000,2841,False
1995,2103780,Marion County,15320000,2891,False
1995,2103810,Marshall County,22170000,5155,False
1995,2103840,Martin County,15147000,2891,False
1995,2103870,Mason County,14650000,2813,False
1995,2103900,Mayfield Independent,7541000,1441,False
1995,2103960,McCracken County,31084000,6921,False
1995,2103990,McCreary County,21511000,3483,False
1995,2104020,McLean County,7902000,1709,False
1995,2104050,Meade County,18517000,4330,False
1995,2104080,Menifee County,5304000,1042,False
1995,2104110,Mercer County,9610000,2078,False
1995,2104140,Metcalfe County,8646000,1652,False
1995,2104170,Middlesboro Independent,10400000,1858,False
1995,2104200,Monroe County,12655000,2125,False
1995,2104250,Montgomery County,19239000,3648,False
1995,2104260,MONTICELLO INDEPENDENT,4175000,822,False
1995,2104290,Morgan County,12475000,2403,False
1995,2104380,Murray Independent,8468000,1345,False
1995,2104410,Nelson County,19781000,4306,False
1995,2104440,Newport Independent,18150000,3038,False
1995,2104470,Nicholas County,6401000,1290,False
1995,2104500,Ohio County,19026000,4101,False
1995,2104530,Oldham County,34229000,7418,False
1995,2104560,Owen County,8970000,1829,False
1995,2104590,Owensboro Independent,25670000,4452,False
1995,2104620,Owsley County,7419000,942,False
1995,2104650,Paducah Independent,19174000,3322,False
1995,2104680,Paintsville Independent,4225000,886,False
1995,2104710,Paris Independent,4782000,842,False
1995,2104740,Pendleton County,13000000,2709,False
1995,2104770,Perry County,27578000,5252,False
1995,2104800,Pike County,67244000,12029,False
1995,2104830,Pikeville Independent,7313000,1373,False
1995,2104860,Pineville Independent,3192000,589,False
1995,2104890,Powell County,13721000,2664,False
1995,2104920,PROVIDENCE INDEPENDENT,2818000,565,False
1995,2104950,Pulaski County,33958000,7151,False
1995,2104980,Raceland-Worthington Independent,4124000,949,False
1995,2105040,Robertson County,1984000,366,False
1995,2105070,Rockcastle County,14608000,2987,False
1995,2105100,Rowan County,16564000,3153,False
1995,2105130,Russell Independent,11178000,2337,False
1995,2105160,Russell County,14688000,2789,False
1995,2105190,Russellville Independent,8677000,1446,False
1995,2105220,Science Hill Independent,1714000,407,False
1995,2105260,Scott County,26916000,5100,False
1995,2105320,Shelby County,21627000,4617,False
1995,2105370,Silver Grove Independent,1588000,265,False
1995,2105400,Simpson County,15534000,2947,False
1995,2105430,Somerset Independent,8733000,1761,False
1995,2105460,Southgate Independent,1052000,209,False
1995,2105490,Spencer County,8593000,1667,False
1995,2105520,Taylor County,11669000,2556,False
1995,2105550,Todd County,9251000,1998,False
1995,2105580,Trigg County,8806000,1848,False
1995,2105610,Trimble County,6419000,1327,False
1995,2105640,Union County,15499000,2807,False
1995,2105700,Walton-Verona Independent,4961000,945,False
1995,2105730,Warren County,47761000,10377,False
1995,2105760,Washington County,8237000,1791,False
1995,2105790,Wayne County,16771000,2795,False
1995,2105820,Webster County,10456000,2092,False
1995,2105850,West Point Independent,1275000,199,False
1995,2105880,Whitley County,20873000,4328,False
1995,2105910,Williamsburg Independent,4682000,891,False
1995,2105940,Williamstown Independent,3739000,656,False
1995,2105970,Wolfe County,9090000,1394,False
1995,2106000,Woodford County,17056000,3839,False
1996,2100030,Adair County,15051000,2696,False
1996,2100070,Allen County,12686000,2933,False
1996,2100081,Muhlenberg County,29848000,5424,False
1996,2100090,Anchorage Independent,3737000,412,False
1996,2100120,Anderson County,15333000,2923,False
1996,2100150,Ashland Independent,19757000,3596,False
1996,2100180,Augusta Independent,1815000,306,False
1996,2100210,Ballard County,7448000,1408,False
1996,2100240,Barbourville Independent,3215000,735,False
1996,2100270,Bardstown Independent,8691000,1613,False
1996,2100300,Barren County,18131000,3469,False
1996,2100330,Bath County,9801000,1856,False
1996,2100360,Beechwood Independent,4199000,959,False
1996,2100390,Bell County,21479000,3429,False
1996,2100420,Bellevue Independent,5263000,953,False
1996,2100480,Berea Independent,5747000,1059,False
1996,2100510,Boone County,56263000,11729,False
1996,2100540,Bourbon County,15260000,2722,False
1996,2100570,Bowling Green Independent,20098000,3434,False
1996,2100620,Boyd County,20106000,3795,False
1996,2100630,Boyle County,12981000,2619,False
1996,2100660,Bracken County,5440000,1247,False
1996,2100690,Breathitt County,16177000,2685,False
1996,2100720,Breckinridge County,15227000,2754,False
1996,2100750,Bullitt County,51879000,10073,False
1996,2100780,Burgin Independent,1887000,394,False
1996,2100810,Butler County,12369000,2418,False
1996,2100840,Caldwell County,10672000,2154,False
1996,2100870,Calloway County,17517000,3208,False
1996,2100900,Campbell County,22600000,3729,False
1996,2100930,Campbellsville Independent,7434000,1436,False
1996,2100960,Carlisle County,4127000,859,False
1996,2100990,Carroll County,9567000,1765,False
1996,2101020,Carter County,25419000,5021,False
1996,2101050,Casey County,14052000,2466,False
1996,2101110,Caverna Independent,5260000,929,False
