year,leaid,district,math_pct_prof_midpt,read_pct_prof_midpt
2009,2100030,Adair County,64.0,69.0
2009,2100070,Allen County,67.0,73.0
2009,2100081,Muhlenberg County,73.0,78.0
2009,2100090,Anchorage Independent,94.0,93.0
2009,2100120,Anderson County,63.0,74.0
2009,2100150,Ashland Independent,59.0,73.0
2009,2100180,Augusta Independent,57.0,62.0
2009,2100210,Ballard County,70.0,78.0
2009,2100240,Barbourville Independent,59.0,71.0
2009,2100270,Bardstown Independent,54.0,67.0
2009,2100300,Barren County,66.0,71.0
2009,2100330,Bath County,58.0,66.0
2009,2100360,Beechwood Independent,79.0,85.0
2009,2100390,Bell County,64.0,73.0
2009,2100420,Bellevue Independent,53.0,64.0
2009,2100480,Berea Independent,55.0,65.0
2009,2100510,Boone County,72.0,80.0
2009,2100540,Bourbon County,66.0,75.0
2009,2100570,Bowling Green Independent,66.0,72.0
2009,2100620,Boyd County,59.0,73.0
2009,2100630,Boyle County,71.0,82.0
2009,2100660,Bracken County,61.0,73.0
2009,2100690,Breathitt County,72.0,73.0
2009,2100720,Breckinridge County,66.0,72.0
2009,2100750,Bullitt County,65.0,72.0
2009,2100780,Burgin Independent,58.0,75.0
2009,2100810,Butler County,59.0,74.0
2009,2100840,Caldwell County,70.0,75.0
2009,2100870,Calloway County,71.0,78.0
2009,2100900,Campbell County,72.0,78.0
2009,2100930,Campbellsville Independent,70.0,70.0
2009,2100960,Carlisle County,54.0,65.0
2009,2100990,Carroll County,63.0,71.0
2009,2101020,Carter County,62.0,67.0
2009,2101050,Casey County,67.0,72.0
2009,2101110,Caverna Independent,48.0,64.0
2009,2101150,Christian County,61.0,67.0
2009,2101200,Clark County,63.0,71.0
2009,2101230,Clay County,60.0,64.0
2009,2101260,Clinton County,57.0,70.0
2009,2101290,Cloverport Independent,77.0,87.0
2009,2101320,Corbin Independent,74.0,80.0
2009,2101350,Covington Independent,48.0,53.0
2009,2101380,Crittenden County,63.0,73.0
2009,2101410,Cumberland County,53.0,68.0
2009,2101440,Danville Independent,63.0,73.0
2009,2101470,Daviess County,71.0,82.0
2009,2101500,Dawson Springs Independent,53.0,67.0
2009,2101530,Dayton Independent,46.0,57.0
