school,district,last_open_year,closed_for_sy,enrollment,level,city,county_fips,locale,town_lost_last_school,successor_school
ESTILL CO ALT SCHOOL,ESTILL CO,1994,1995,15,unknown,,,6,,
HAMPTON EL,LIVINGSTON CO,1994,1995,98,unknown,,,7,,
SALEM EL,LIVINGSTON CO,1994,1995,138,unknown,,,7,,
ISLAND EL,MCLEAN CO,1994,1995,84,unknown,,,7,,
M C NAPIER HS,PERRY CO,1994,1995,894,unknown,,,6,,
POWERSBURG EL,WAYNE CO,1994,1995,65,unknown,,,6,,
ROCKY BRANCH EL,WAYNE CO,1994,1995,117,unknown,,,7,,
SINKING CONSOLIDATED EL,WAYNE CO,1994,1995,86,unknown,,,6,,
HOLMES MILL EL,HARLAN CO,1995,1996,69,unknown,,,7,,
CHARLESTON EL,HOPKINS CO,1995,1996,221,unknown,,,6,,
DALTON EL,HOPKINS CO,1995,1996,214,unknown,,,6,,
NEBO EL,HOPKINS CO,1995,1996,330,unknown,,,7,,
SOUTH HOPKINS HS,HOPKINS CO,1995,1996,580,unknown,,,7,,
WEST HOPKINS HS,HOPKINS CO,1995,1996,346,unknown,,,7,,
JACKSON IND MIDDLE SCH,JACKSON IND,1995,1996,142,unknown,,,7,,
THE LIFE CONNECTION,LARUE CO,1995,1996,14,unknown,,,6,,
HEMPHILL EL,LETCHER CO,1995,1996,120,unknown,,,7,,
ADAIRVILLE EL,LOGAN CO,1995,1996,207,unknown,,,7,,
AUBURN EL,LOGAN CO,1995,1996,344,unknown,,,7,,
CHANDLERS EL,LOGAN CO,1995,1996,229,unknown,,,6,,
OLMSTEAD EL,LOGAN CO,1995,1996,206,unknown,,,7,,
ADAIRVILLE MID,LOGAN CO,1995,1996,140,unknown,,,7,,
AUBURN MID,LOGAN CO,1995,1996,226,unknown,,,7,,
CHANDLERS MID,LOGAN CO,1995,1996,113,unknown,,,6,,
LEWISBURG MIDDLE SCHOOL,LOGAN CO,1995,1996,222,unknown,,,7,,
OLMSTEAD MID,LOGAN CO,1995,1996,121,unknown,,,7,,
CROCKETT EL,MORGAN CO,1995,1996,145,unknown,,,7,,
OWEN CO ALT SCHOOL,OWEN CO,1995,1996,11,unknown,,,7,,
PAINTSVILLE MID,PAINTSVILLE IND,1995,1996,129,unknown,,,6,,
BRUSHY EL,PIKE CO,1995,1996,75,unknown,,,7,,
SOUTH WILLIAMSON EL,PIKE CO,1995,1996,128,unknown,,,7,,
SYCAMORE EL,PIKE CO,1995,1996,102,unknown,,,7,,
TURKEY CREEK EL,PIKE CO,1995,1996,286,unknown,,,7,,
VARNEY EL,PIKE CO,1995,1996,302,unknown,,,7,,
MCQUADY EL,BRECKINRIDGE CO,1996,1997,196,unknown,,,7,,
MILNER EL,BRECKINRIDGE CO,1996,1997,103,unknown,,,7,,
VALLEY VIEW ELEM,ELIZABETHTOWN IND,1996,1997,187,unknown,,,6,,
MAYTOWN EL,FLOYD CO,1996,1997,74,unknown,,,7,,
BROWN ST CENTER,HARDIN CO,1996,1997,367,unknown,,,6,,
COLLEGE ST CENTER,HARDIN CO,1996,1997,65,unknown,,,6,,
HARLAN MIDDLE SCHOOL,HARLAN IND,1996,1997,272,unknown,,,6,,
JENKINS MS,JENKINS IND,1996,1997,170,unknown,,,6,,
JENKINS HS,JENKINS IND,1996,1997,239,unknown,,,6,,
LETCHER CO ALT SCHOOL,LETCHER CO,1996,1997,14,unknown,,,7,,
MOUTH OF TURKEY EL,MARTIN CO,1996,1997,55,unknown,,,7,,
BUFFALO TRACE REG. ALT SCH,MASON CO,1996,1997,31,unknown,,,6,,
CENTRAL EL,MEADE CO,1996,1997,259,unknown,,,7,,
PENDLETON CO MID,PENDLETON CO,1996,1997,441,unknown,,,7,,
CUMBERLAND ALT SCH,RUSSELL CO,1996,1997,25,unknown,,,7,,
PENNYRILE ACC. LRNG. SCHOOL,TODD CO,1996,1997,11,unknown,,,7,,
WEBSTER CO ALT SCHOOL,WEBSTER CO,1996,1997,8,unknown,,,7,,
