source_file,school,demographic_or_level,field,value
KYRC25_ACCT_Index_Scores.csv,All Schools,All Students,Climate Index,77.8
KYRC25_ACCT_Index_Scores.csv,All Schools,All Students,Safety Index,73.3
KYRC25_ACCT_Index_Scores.csv,All Schools,Female,Climate Index,78.8
KYRC25_ACCT_Index_Scores.csv,All Schools,Female,Safety Index,73.7
KYRC25_ACCT_Index_Scores.csv,All Schools,Male,Climate Index,76.9
KYRC25_ACCT_Index_Scores.csv,All Schools,Male,Safety Index,72.9
KYRC25_ACCT_Index_Scores.csv,All Schools,African American,Climate Index,77.9
KYRC25_ACCT_Index_Scores.csv,All Schools,African American,Safety Index,74.1
KYRC25_ACCT_Index_Scores.csv,All Schools,American Indian or Alaska Native,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,All Schools,American Indian or Alaska Native,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,All Schools,Asian,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,All Schools,Asian,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,All Schools,Hispanic or Latino,Climate Index,76.0
KYRC25_ACCT_Index_Scores.csv,All Schools,Hispanic or Latino,Safety Index,72.4
KYRC25_ACCT_Index_Scores.csv,All Schools,Native Hawaiian or Pacific Islander,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,All Schools,Native Hawaiian or Pacific Islander,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,All Schools,Two or More Races,Climate Index,69.6
KYRC25_ACCT_Index_Scores.csv,All Schools,Two or More Races,Safety Index,68.8
KYRC25_ACCT_Index_Scores.csv,All Schools,White (non-Hispanic),Climate Index,78.6
KYRC25_ACCT_Index_Scores.csv,All Schools,White (non-Hispanic),Safety Index,73.6
KYRC25_ACCT_Index_Scores.csv,All Schools,Economically Disadvantaged,Climate Index,77.1
KYRC25_ACCT_Index_Scores.csv,All Schools,Economically Disadvantaged,Safety Index,72.8
KYRC25_ACCT_Index_Scores.csv,All Schools,Non Economically Disadvantaged,Climate Index,79.0
KYRC25_ACCT_Index_Scores.csv,All Schools,Non Economically Disadvantaged,Safety Index,74.2
KYRC25_ACCT_Index_Scores.csv,All Schools,Students with Disabilities (IEP),Climate Index,79.7
KYRC25_ACCT_Index_Scores.csv,All Schools,Students with Disabilities (IEP),Safety Index,75.9
KYRC25_ACCT_Index_Scores.csv,All Schools,Alternate Assessment,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,All Schools,Alternate Assessment,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,All Schools,Student without Disabilities (IEP),Climate Index,77.3
KYRC25_ACCT_Index_Scores.csv,All Schools,Student without Disabilities (IEP),Safety Index,72.7
KYRC25_ACCT_Index_Scores.csv,All Schools,English Learner including Monitored,Climate Index,76.7
KYRC25_ACCT_Index_Scores.csv,All Schools,English Learner including Monitored,Safety Index,72.1
KYRC25_ACCT_Index_Scores.csv,All Schools,English Learner,Climate Index,79.1
KYRC25_ACCT_Index_Scores.csv,All Schools,English Learner,Safety Index,74.2
KYRC25_ACCT_Index_Scores.csv,All Schools,Non English Learner,Climate Index,77.7
KYRC25_ACCT_Index_Scores.csv,All Schools,Non English Learner,Safety Index,73.2
KYRC25_ACCT_Index_Scores.csv,All Schools,Non-English Learner or monitored,Climate Index,78.0
KYRC25_ACCT_Index_Scores.csv,All Schools,Non-English Learner or monitored,Safety Index,73.4
KYRC25_ACCT_Index_Scores.csv,All Schools,Foster Care,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,All Schools,Foster Care,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,All Schools,Non-Foster,Climate Index,77.7
