FY,NCESSCH,SCH_NAME,MEMBER,FTE,Z33S,V11S,V13S,V17S,Z39S,Z40S,E07S,V01S,V02S,K13S,K14S,V03S,V04S,V93S,K15S,SUM_ALL_ITEMS,instr_staff_sal_per_pupil,sum_per_pupil
2015-16,210054000024,Cane Ridge Elementary School,474,30.76,1923000,128000,81000,130000,-1,-1,5000,109000,6000,0,47000,1000,4000,40000,14000,2488000.0,4057,5249
2015-16,210054000096,North Middletown Elementary School,154,10.54,659000,37000,58000,91000,-1,-1,3000,45000,2000,0,8000,0,3000,11000,0,917000.0,4279,5955
2015-16,210054000098,Bourbon County High School,887,49.32,2835000,133000,107000,294000,-1,-1,5000,179000,3000,0,57000,4000,1000,11000,0,3629000.0,3196,4091
2015-16,210054000099,Bourbon County Middle School,589,41.33,2346000,86000,82000,234000,-1,-1,4000,79000,28000,0,40000,3000,1000,8000,0,2911000.0,3983,4942
2015-16,210054001576,Bourbon Central Elementary School,611,37.94,2164000,166000,59000,187000,-1,-1,4000,181000,7000,0,4000,1000,4000,64000,0,2841000.0,3542,4650
2015-16,210054002054,Bourbon County Preschool Headstart,245,9.00,924000,34000,0,126000,-1,-1,21000,113000,0,0,4000,21000,0,0,0,1243000.0,3771,5073
2016-17,210054000024,Cane Ridge Elementary School,494,29.76,1948000,132000,87000,126000,-1,-1,16000,135000,7000,0,8000,11000,4000,53000,1000,2528000.0,3943,5117
2016-17,210054000096,North Middletown Elementary School,131,10.79,580000,40000,70000,91000,-1,-1,8000,50000,2000,0,16000,3000,5000,9000,5000,879000.0,4427,6710
2016-17,210054000098,Bourbon County High School,843,53.20,2962000,133000,120000,287000,-1,-1,14000,219000,3000,0,12000,11000,3000,17000,0,3781000.0,3514,4485
2016-17,210054000099,Bourbon County Middle School,600,41.20,2396000,86000,95000,238000,-1,-1,7000,113000,9000,0,2000,7000,0,26000,0,2979000.0,3993,4965
2016-17,210054001576,Bourbon Central Elementary School,620,38.05,2142000,156000,75000,188000,-1,-1,9000,179000,10000,0,0,7000,2000,25000,0,2793000.0,3455,4505
2016-17,210054002054,Bourbon County Preschool Headstart,243,9.00,811000,32000,0,121000,-1,-1,23000,116000,0,0,0,23000,0,0,0,1126000.0,3337,4634
2016-17,2100540D9999,DISTRICTWIDE,-2,-2.00,196000,212000,421000,13000,-1,-1,32000,392000,1000,0,156000,32000,0,11000,0,1466000.0,-98000,-733000
