SCHOOL YEAR,COUNTY NUMBER,COUNTY NAME,DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,SCHOOL CODE,STATE SCHOOL ID,NCES ID,CO-OP,CO-OP CODE,SCHOOL TYPE,MEMBERSHIP,Personnel Spending per Student - Federal Funds,Non-Personnel Spending per Student - Federal Funds,Total Spending per Student - Federal Funds,Personnel Spending per Student - State/Local Funds,Non-Personnel Spending per Student - State/Local Funds,Total Spending per Student - State/Local Funds,Total Spending per Student - All Fund Sources
20212022,001,ADAIR,001,Adair County,"",---District Total---,001,"","",GRREC,902,"",2566,1495,285,1780,8628,1945,10573,13600
20212022,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,A1,776,925,99,1024,8588,1938,10526,13553
20212022,001,ADAIR,001,Adair County,012,Adair Learning Academy,001012,001001012,210003001913,GRREC,902,A6,31,,,,,,,
20212022,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003001919,GRREC,902,A1,637,1030,67,1098,7810,1031,8842,10081
20212022,001,ADAIR,001,Adair County,016,Adair County Elementary School,001016,001001016,210003002021,GRREC,902,A1,545,1632,186,1818,9582,1364,10945,12031
20212022,001,ADAIR,001,Adair County,020,Adair County Primary Center,001020,001001020,210003002345,GRREC,902,A1,577,2078,175,2253,10895,1371,12267,13623
20212022,002,ALLEN,005,Allen County,"",---District Total---,005,"","",GRREC,902,"",2941,841,720,1562,8752,1384,10136,13125
20212022,002,ALLEN,005,Allen County,010,Allen County Primary Center,005010,002005010,210007000008,GRREC,902,A1,867,1528,1272,2800,17856,3625,18680,24258
20212022,002,ALLEN,005,Allen County,015,James E Bazzell Middle School,005015,002005015,210007000009,GRREC,902,A1,474,2212,1272,3484,18733,3707,18956,25226
20212022,002,ALLEN,005,Allen County,020,Allen County-Scottsville High School,005020,002005020,210007000010,GRREC,902,A1,898,1372,1591,2963,19459,5038,21534,27283
20212022,002,ALLEN,005,Allen County,060,Allen County Intermediate Center,005060,002005060,210007000013,GRREC,902,A1,702,1580,1282,2862,17318,3472,17928,23362
20212022,002,ALLEN,005,Allen County,901,Allen County Career and Technical Center,005901,002005901,210007002061,GRREC,902,A2,0,,,,,,,
20212022,056,JEFFERSON,006,Anchorage Independent,"",---District Total---,006,"","",OVEC,906,"",405,216,606,821,18429,5071,23500,24459
20212022,056,JEFFERSON,006,Anchorage Independent,010,Anchorage Independent Public School,006010,056006010,210009000014,OVEC,906,A1,405,216,606,821,18429,5071,23500,24459
20212022,003,ANDERSON,011,Anderson County,"",---District Total---,011,"","",CKEC,901,"",3574,1074,451,1525,8624,1580,10204,13046
20212022,003,ANDERSON,011,Anderson County,020,Anderson County High School,011020,003011020,210012000016,CKEC,901,A1,1173,569,378,947,7229,2180,9409,10645
20212022,003,ANDERSON,011,Anderson County,022,Robert B. Turner Elementary School,011022,003011022,210012001955,CKEC,901,A1,539,1175,410,1585,9321,1736,11057,12261
20212022,003,ANDERSON,011,Anderson County,025,Anderson County Middle School,011025,003011025,210012000017,CKEC,901,A1,825,597,361,958,7824,1636,9460,10724
20212022,003,ANDERSON,011,Anderson County,030,APEX Academy,011030,003011030,210012002371,CKEC,901,A5,0,,,,,,,
20212022,003,ANDERSON,011,Anderson County,050,Saffell Street Elementary School,011050,003011050,210012000018,CKEC,901,A1,396,1113,456,1569,10507,2060,12566,13944
20212022,003,ANDERSON,011,Anderson County,110,Emma B. Ward Elementary School,011110,003011110,210012000021,CKEC,901,A1,456,1782,426,2207,11505,1743,13248,14558
20212022,003,ANDERSON,011,Anderson County,120,Ezra Sparrow Early Childhood Center,011120,003011120,210012001298,CKEC,901,A1,185,2117,762,2879,12106,2125,14231,15406
20212022,010,BOYD,012,Ashland Independent,"",---District Total---,012,"","",KEDC,903,"",3051,1552,857,2408,8775,1811,10586,17537
20212022,010,BOYD,012,Ashland Independent,005,Ashland Virtual Learning Center,012005,010012005,210015002487,KEDC,903,A5,0,,,,,,,
20212022,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,A1,923,412,761,1172,8893,1951,10847,12152
20212022,010,BOYD,012,Ashland Independent,012,Ashland Head Start,012012,010012012,210015002023,KEDC,903,A4,0,,,,,,,
20212022,010,BOYD,012,Ashland Independent,050,Ashland Middle School,012050,010012050,210015000023,KEDC,903,A1,697,731,680,1411,8258,1668,9926,11493
20212022,010,BOYD,012,Ashland Independent,070,Crabbe Elementary School,012070,010012070,210015000025,KEDC,903,A1,294,2063,925,2988,7326,1516,8840,12159
20212022,010,BOYD,012,Ashland Independent,080,Hager Elementary School,012080,010012080,210015000026,KEDC,903,A1,357,1250,686,1936,6588,1382,7972,9932
20212022,010,BOYD,012,Ashland Independent,100,Oakview Elementary School,012100,010012100,210015000028,KEDC,903,A1,291,1251,955,2205,10249,1571,11822,14052
20212022,010,BOYD,012,Ashland Independent,110,Poage Elementary School,012110,010012110,210015000029,KEDC,903,A1,285,1236,861,2097,9705,1454,11164,13290
20212022,010,BOYD,012,Ashland Independent,130,Charles Russell Elementary School,012130,010012130,210015000031,KEDC,903,A1,204,1818,913,2731,10960,1762,12724,15905
20212022,012,BRACKEN,013,Augusta Independent,"",---District Total---,013,"","",KEDC,903,"",308,1712,501,2213,8833,2671,11504,15193
20212022,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,KEDC,903,A1,308,1712,501,2213,8833,2671,11504,15193
20212022,004,BALLARD,015,Ballard County,"",---District Total---,015,"","",WKEC,908,"",951,903,657,1560,10904,2859,13763,17828
20212022,004,BALLARD,015,Ballard County,005,Ballard County Middle School,015005,004015005,210021000035,WKEC,908,A1,236,1044,286,1330,9581,2024,11606,15199
20212022,004,BALLARD,015,Ballard County,010,Ballard Memorial High School,015010,004015010,210021000036,WKEC,908,A1,260,495,1094,1589,13214,4396,17610,21720
20212022,004,BALLARD,015,Ballard County,050,Ballard County Elementary School,015050,004015050,210021000356,WKEC,908,A1,455,1063,600,1663,10270,2412,12683,16968
20212022,004,BALLARD,015,Ballard County,070,Ballard Co. Preschool/Headstart Center,015070,004015070,210021000040,WKEC,908,A4,0,,,,,,,
20212022,004,BALLARD,015,Ballard County,905,Ballard County Career and Technology Ctr,015905,004015905,210021002404,WKEC,908,A2,0,,,,,,,
20212022,061,KNOX,016,Barbourville Independent,"",---District Total---,016,"","",SESC,907,"",630,1087,1238,2325,8229,2479,10708,13991
20212022,061,KNOX,016,Barbourville Independent,011,Barbourville City School,016011,061016011,210024001969,SESC,907,A1,630,1087,1238,2325,8229,2479,10708,13991
20212022,090,NELSON,017,Bardstown Independent,"",---District Total---,017,"","",CKEC,901,"",2394,1158,303,1461,12038,2012,14050,21030
20212022,090,NELSON,017,Bardstown Independent,005,Bardstown Alternative School,017005,090017005,210027002359,CKEC,901,A5,80,,,,,,,
20212022,090,NELSON,017,Bardstown Independent,009,Bardstown Early Childhood Center,017009,090017009,210027002222,CKEC,901,A4,0,,,,,,,
20212022,090,NELSON,017,Bardstown Independent,010,Bardstown Elementary School,017010,090017010,210027000044,CKEC,901,A1,555,1269,363,1631,11281,1661,12942,19661
20212022,090,NELSON,017,Bardstown Independent,012,Bardstown Primary School,017012,090017012,210027002050,CKEC,901,A1,586,1866,219,2085,11114,1523,12637,19644
20212022,090,NELSON,017,Bardstown Independent,020,Bardstown High School,017020,090017020,210027000045,CKEC,901,A1,616,404,231,635,11706,2384,14090,19783
20212022,090,NELSON,017,Bardstown Independent,030,Bardstown Middle School,017030,090017030,210027000046,CKEC,901,A1,557,485,197,682,10918,1817,12734,18339
20212022,005,BARREN,021,Barren County,"",---District Total---,021,"","",GRREC,902,"",4856,1627,867,2495,8676,2368,11045,17041
20212022,005,BARREN,021,Barren County,010,Austin Tracy Elementary School,021010,005021010,210030000047,GRREC,902,A1,272,2155,1139,5043,7748,2145,8476,17818
20212022,005,BARREN,021,Barren County,011,College Street Campus,021011,005021011,210030001303,GRREC,902,A5,55,,,,,,,
20212022,005,BARREN,021,Barren County,012,BAVEL,021012,005021012,210030001970,GRREC,902,A5,276,,,,,,,
20212022,005,BARREN,021,Barren County,014,North Jackson Elementary,021014,005021014,210030002232,GRREC,902,A1,483,1478,954,3629,7303,1979,8415,16148
20212022,005,BARREN,021,Barren County,027,Barren County High School,021027,005021027,210030000048,GRREC,902,A1,1312,1101,821,2922,8522,2245,10064,17234
20212022,005,BARREN,021,Barren County,035,Eastern Elementary School,021035,005021035,210030000049,GRREC,902,A1,330,2008,1016,4843,7660,1906,8079,17214
20212022,005,BARREN,021,Barren County,050,Barren County Middle School,021050,005021050,210030000607,GRREC,902,A1,698,1307,742,3171,7821,1965,8995,16269
20212022,005,BARREN,021,Barren County,080,Hiseville Elementary School,021080,005021080,210030000050,GRREC,902,A1,252,2046,962,4813,8983,1934,9441,18515
20212022,005,BARREN,021,Barren County,130,Park City Elementary School,021130,005021130,210030000051,GRREC,902,A1,341,1897,1114,4766,15264,2016,8176,17244
20212022,005,BARREN,021,Barren County,150,Red Cross Elementary School,021150,005021150,210030000052,GRREC,902,A1,571,1686,915,4037,7846,1876,8618,16759
20212022,005,BARREN,021,Barren County,180,Temple Hill Elementary School,021180,005021180,210030000053,GRREC,902,A1,266,2317,1096,5081,8038,1981,8684,17868
20212022,006,BATH,025,Bath County,"",---District Total---,025,"","",KEDC,903,"",1881,2024,575,2598,8156,2031,10187,14268
20212022,006,BATH,025,Bath County,012,Second Chance Academy,025012,006025012,210033002335,KEDC,903,A5,14,,,,,,,
20212022,006,BATH,025,Bath County,014,Crossroads Elementary School,025014,006025014,210033002223,KEDC,903,A1,344,2959,562,3529,8038,1877,9915,14873
20212022,006,BATH,025,Bath County,020,Bath County Middle School,025020,006025020,210033001606,KEDC,903,A1,466,1751,431,2190,7478,1944,9423,13040
