fund,program,program_name,amount_fy2026,detail
1,118,Regular instruction,397699.80,certified 303386
1,077,School administration,131724.00,principal 69078 secretary 28256 extended day 13069 extra service 9037
1,921,Special education,107175.00,certified 69882 classified 28008
1,012,Primary and other instruction,81442.00,certified 52871 classified 20340
1,987,Plant and utilities,58774.10,gas 20000 electricity 20000 sanitation 8196 water 5000 supplies 4318
1,059,Library and media,49097.00,certified 46735
1,087,Custodial,37333.00,classified 29496
1,037,Student support,33676.00,classified 26536
1,918,Technology,22010.15,
1,124,Instructional other,13051.00,
1,other,Programs 011 019 148 137,6707.85,
1,TOTAL,General Fund excluding on-behalf,938689.90,
2,TOTAL,Federal and special revenue,191048.00,certified 144705
5,TOTAL,Food service,170423.00,
1,ONBEHALF,State paid KTRS and health,406333.00,not district cash
ALL,TOTAL,Location 090 all funds,1706493.00,
